BONFIRE,,,,,,,
No Clocks Productions Ltd.,Director,,Production Manager,Assistant Directors,Location(s),Key PAs,PC / EC
SL5 D,David Lowery,DGA,PMJohn  Catron,1AD Walter Gasparovic,LM Ann Goobie,OPA Patrick Germain,PC  Byron Fudge
Rate  Sheet A,,,,,,,
"",,,,,ALM Paul Giordano,OPA Natalia Rueda,
2880 Underhill Ave,,,,,,,
"Burnaby,  BC",,,,,,,
V5A 3C5,,,,,,,
Phone: (604)637-0094,,,,,,,
Mar 08 2021 - Jun 30 2021,(OFFICE OPENS NOV 16),,,,,,
Exec.Tom Hammel,,,,,,,
"",,,,,,,
CHANGE OF PACE,,,,,,,
"Change Of Pace Film, Inc",Director,,Production Manager,Assistant Directors,Location(s),Key PAs,PC / EC
SL4 2.03 a)v,Stephen Campanelli,,PMDennis  Swartman,,LM Sinziana Corozel,,PC  Andrea  Agur
Rate  Sheet F,,,,,,,
1845 Camrose Street,,,,,,,
"Penticton, BC",,,,,,,
V2A 3J4,,,,,,,
Phone: (250)493-0220,,,,,,,
Sep  28 2020 - Oct 16 2020,,,,,,,
"",,,,,,,
ELLINGTON,,,,,,,
Swan  Song BC Productions Inc.,Director,,Production Manager,Assistant Directors,Location(s),Key PAs,PC / EC
Over $20M,Ben Cleary,DGA,PMDrew Locke,,LM Terry MacKay,,PC  Rhona Williscroft
Rate  Sheet A,,,,,,,
"",,,UMKate Vanderbyl  Keates,,,,EC  Sandra Ken Freeman
"2400 Boundary Road, Admin Building,",,,,,,,
Upper Floor,,,,,,,
"Burnaby,  BC V5M 3Z3",,,,,,,
ellingtonprod@gmail.com,,,,,,,
Dec 01 2020 - Mar 17 2021,(OFFICE OPENS SEPT  21),,,,,,
Exec.Shea Kammer,Exec.Jonathan King,,Prod.  Adam Shulman,,,,
Prod.  Jacob Perlin,,,,,,,
"HELLO, GOODBYE AND EVERYTHING IN BETWEEN",,,,,,
Hello Goodbye Productions Inc. Director,,Production Manager,Assistant Directors,Location(s),Key PAs,PC / EC
SL4 2.03 a)ii Michael Lewen,DGA,PMJoyce Sawa,1AD Mel Siteman,LM Shawn Flynn,,PC  Ron Pachkowski
Rate  Sheet C,,,,,,
100 - 3705 Willingdon Ave,,,,,,
"Burnaby,  BC V5G 3H3",,,,,,
hgfilm2020@gmail.com,,,,,,
"",,,,,,
Phone: (604)395-1134,,,,,,
"",,,,,,
"",,,,,,
Oct 05 2020 - Nov 09 2020,,,,,,
"",,,,,,
"",,,,,,
"",,,,,,
LOVE HARD,,,,,,
"Love Hard Films Canada,  Inc. Director",,Production Manager,Assistant Directors,Location(s),Key PAs,PC / EC
Over $20M Hernan Jimenez Garcia,DGA,PMSteven St Arnaud,1AD James Bitonti,LM Dan Kuzmenko,OPA Amirtha Venkatesh,PC  Jerami Pergel
Rate  Sheet A,,,,,,
"",,,2AD Ben Cairns,LS Peter Drozdzik,,
2400 Boundary Road,,,,,,
"Burnaby,  BC V5M 3Z3",,,,,,
lovehardproduction@gmail.com,,,,,,
"",,,,,,
Phone: (604)292-8510,,,,,,
Fax:  (604)292-8511,,,,,,
"",,,,,,
"",,,,,,
Oct 05 2020 - Nov 24 2020,,,,,,
"",,,,,,
"",,,,,,
"",,,,,,
SOLITARY,,,,,,
Windor Productions BC Inc. Director,,Production Manager,Assistant Directors,Location(s),Key PAs,PC / EC
SL4 2.03 a)iii Nate Parker,DGA,PMBrian  Parker,1AD Kate Weiss,LM Trevor Brokop,OPA Tyler Heiligsetzer,PC  Lisa Ragosin
Rate  Sheet D,,,,,,
"",,,2AD Roxanne Rejfek,ALM Andrew Bee,,
6952 Merritt Avenue,,,,,,
"",,,,ALM DawneSchabler,,
"Burnaby,  BC V5J 4R6",,,,,,
solitaryoffice@gmail.com,,,,,,
"",,,,,,
Phone: (604)395-1131,,,,,,
"",,,,,,
